id,title,price,currency,regular_price,discount_percent,brand,sku,url,image,description,in_stock,source,country,scraped_at,processor,gpu,ram_gb,storage,screen_size
67413,PC Portable Gamer LENOVO LOQ 15IRX9 i7 13ème Gén 16G RTX 3050,,TND,,0.0,LENOVO,[83DV01BBFG],https://www.mytek.tn/pc-portable-gamer-lenovo-loq-15irx9-i7-13eme-gen-16g-rtx-3050.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-gamer-lenovo-loq-15irx9-i7-13eme-gen-16g-rtx-3050_1.jpg,"Écran 15.6"" Full HD IPS, 144Hz - Processeur: Intel Core i7-13650HX (Up to 4.90 GHz Turbo max , 24 Mo de mémoire cache, 14-Cores) - Système d'exploitation: FreeDos - Mémoire RAM: 16Go DDR5 - Disque Dur: 512Go SSD - Carte ...",True,mytek,Tunisia,2026-01-02T16:17:31.787242,,RTX 3050,,,
65586,PC Portable Gamer MSI Thin 15 B13UDX i7 13è Gén 24G RTX3050,,TND,,0.0,MSI,[9S7-16R831-3257-24G],https://www.mytek.tn/pc-portable-gamer-msi-thin-15-b13udx-i7-13e-gen-24g-rtx3050.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-gamer-msi-thin-15-b13udx-i7-13e-gen-24g-rtx3050.jpg,"Écran 15.6"" Full HD IPS, 144 Hz - Processeur: Intel Core i7-13620H (Up to 4.90 GHz Turbo max, 24 Mo de mémoire cache, 10-Cores) - Système d'exploitation: FreeDos - Mémoire RAM: 24 Go DDR4-3200 - Disque dur: 512Go SSD - C...",True,mytek,Tunisia,2026-01-02T16:17:31.788238,,,,,
60350,Pc de Bureau Gamer MYTEK i5 14è Gén 32Go RTX 5060 8G,,TND,,0.0,POWERED-BY-MSI-ADVANCED,[NITRO-14400-5060-32G],https://www.mytek.tn/pc-de-bureau-gamer-mytek-i5-14e-gen-32go-rtx-5060-8g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i5-14e-gen-32go-rtx-5060-8g-a.jpg,"Processeur: Intel Core i5 14400F (Up to 4.7 GHz Turbo max, 20Mo Mémoire cache, 10-Cores) - Système d'exploitation: FreeDos - Mémoire RAM: 32 Go ( 2 X 16 Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M371 M 2 NVME Gen3x...",True,mytek,Tunisia,2026-01-02T16:17:31.788238,,RTX 5060 8G,32.0,32Go,
60296,PC Portable Gamer HP Victus 16-r1004nk i5 14è Gén 32Go RTX 3050,,TND,,0.0,HP,[AG2M2EA-32G],https://www.mytek.tn/pc-portable-gamer-hp-victus-16-r1004nk-i5-14e-gen-32go-rtx-3050.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-gamer-hp-victus-16-r1004nk-i5-14e-gen-32go-rtx-3050-10dlld.jpg,"PC Gaming HP Victus 16-r1004nk - Écran 16.1'' Full HD, IPS 144 Hz - Processeur: Intel Core i5 14450HX (Up to 4.8 GHz Turbo max, 20 Mo de mémoire cache, 10-Cores) - Système d'exploitation: Windows 11 Famille - Mémoire RAM...",True,mytek,Tunisia,2026-01-02T16:17:31.789238,,RTX 3050,32.0,32Go,
60807,Pc de Bureau Gamer MYTEK i5 14è Gén 16Go RTX 5060 Ti 8G,,TND,,0.0,POWERED-BY-MSI-ESSENTIAL,[NITRO-14400-5060Ti],https://www.mytek.tn/pc-de-bureau-gamer-mytek-i5-14e-gen-16go-rtx-5060-ti-8g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i5-14e-gen-16go-rtx-5060-ti-8g-mt.jpg,"Processeur: Intel Core i5 14400F (Up to 4.7 GHz Turbo max, 20Mo Mémoire cache, 10-Cores) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 X 8 Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M371 M 2 NVME Gen3x4...",True,mytek,Tunisia,2026-01-02T16:17:31.790238,,RTX 5060 Ti,16.0,16Go,
65304,PC Portable Gamer MSI Cyborg 15 A13VE i5 13è Gén 8Go RTX 4050,,TND,,0.0,MSI,[9S7-15K111-1494],https://www.mytek.tn/pc-portable-gamer-msi-cyborg-15-a13ve-i5-13e-gen-8go-rtx-4050.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-gamer-msi-cyborg-15-a13ve-i5-13e-gen-8go-rtx-4050-a.jpg,"Écran 15.6"" Full HD IPS, 144 Hz - Processeur: Intel Core i5-13420H (Up to 4.60 GHz Turbo max, 12 Mo de mémoire cache, Octa-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 8 Go DDR5-5200 - Disque dur: 512Go SSD - C...",True,mytek,Tunisia,2026-01-02T16:17:31.791239,,RTX 4050,8.0,8Go,
58436,PC Portable Gamer ASUS V16 V3607VU Intel Core 5 210H 16Go RTX 4050,,TND,,0.0,ASUS,[V3607VU-RP209-16G],https://www.mytek.tn/pc-portable-gamer-asus-v16-v3607vu-intel-core-5-210h-16go-rtx-4050.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-gamer-asus-v16-v3607vu-intel-core-5-210h-16go-rtx-4050-mo.jpg,"Écran 16"" WUXGA, 144Hz - Processeur: Intel Core 5 210H (Up to 4.8 GHz Turbo max, 12 Mo de mémoire cache, Octa-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go DDR5 - Disque Dur: 512Go SSD - Carte Graphique: N...",True,mytek,Tunisia,2026-01-02T16:17:31.792243,,RTX 4050,16.0,16Go,
64018,PC Portable Gamer ASUS TUF Gaming A15 AMD RYZEN 7 24Go RTX 3050,,TND,,0.0,ASUS,[FA506NCR-HN028W-24G],https://www.mytek.tn/pc-portable-gamer-asus-tuf-gaming-a15-amd-ryzen-7-24go-rtx-3050.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-gamer-asus-tuf-gaming-a15-amd-ryzen-7-24go-rtx-3050-mp.jpg,"Écran 15.6"" Full HD, IPS 144Hz - Processeur: AMD Ryzen™ 7 7435HS (3.1 GHz up to 4.5 GHz Turbo max, 16 Mo de mémoire cache, Octa-Core) - Système d'exploitation: Windows 11 Famille - Mémoire RAM: 24 Go DDR5 - Disque Dur: 5...",True,mytek,Tunisia,2026-01-02T16:17:31.793244,AMD RYZEN 7 24Go,RTX 3050,24.0,24Go,
60810,Pc de Bureau Gamer MYTEK i5 12è Gén 32Go RTX 5060 Ti 8G,,TND,,0.0,POWERED-BY-MSI-ESSENTIAL,[NITRO-12400-5060Ti-32G],https://www.mytek.tn/pc-de-bureau-gamer-mytek-i5-12e-gen-32go-rtx-5060-ti-8g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i5-12e-gen-32go-rtx-5060-ti-8g_1_.jpg,"Processeur: Intel Core i5-12400F (Up to 4.40 GHz Turbo max, 18Mo Mémoire cache, Hexa-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 32 Go ( 2 X 16 Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M371 M 2 NVME Gen...",True,mytek,Tunisia,2026-01-02T16:17:31.793244,,RTX 5060 Ti,32.0,32Go,
65869,Pc de Bureau Gamer MYTEK i5 12è Gén 16G RTX 5060 Ti 8G,,TND,,0.0,POWERED-BY-MSI-ADVANCED,[SNOWOLF-12400-5060Ti-1T],https://www.mytek.tn/pc-de-bureau-gamer-mytek-i5-12e-gen-16g-rtx-5060-ti-8g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i5-12e-gen-16g-rtx-5060-ti-8g.jpg,"Processeur: Intel Core i5-12400F (Up to 4.40 GHz Turbo max, 18Mo Mémoire cache, Hexa-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 X 8 Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M470 Pro M.2 NVME ...",True,mytek,Tunisia,2026-01-02T16:17:31.794244,,RTX 5060 Ti,,,
60320,Pc de Bureau Gamer MYTEK AMD RYZEN5 16G RTX 5060 8G,,TND,,0.0,POWERED-BY-MSI-ADVANCED,[NITRO-8400-5060],https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen5-16g-rtx-5060-8g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-amd-ryzen5-16g-rtx-5060-8g-g.png,"Processeur: AMD Ryzen™ 5 8400F (4.2 GHz up to 4.7 GHz Turbo max, 16Mo Mémoire cache, Hexa-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 X 8 Go ) 4800Mhz DDR5 - Disque Dur: MSI SSD SPATIUM M371 M 2 NVME...",True,mytek,Tunisia,2026-01-02T16:17:31.795245,,RTX 5060 8G,,,
62965,Pc de Bureau Gamer MYTEK i7 12è Gén 16G RTX 5050 8G,,TND,,0.0,MYTEK,[VIKING-12700-5050-1T],https://www.mytek.tn/pc-de-bureau-gamer-mytek-i7-12e-gen-16g-rtx-5050-8g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i7-12e-gen-16g-rtx-5050-8g-mt.jpg,"Processeur: Intel Core i7-12700KF (Up to 5.00 GHz Turbo max, 25Mo Mémoire cache, 12-Cores) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 X 8 Go ) 3200Mhz DDR4 - Disque Dur: MSI SSD SPATIUM M450 M.2 NVME Gen4...",True,mytek,Tunisia,2026-01-02T16:17:31.796243,,RTX 5050 8G,,,
65615,PC Portable Gamer MSI Cyborg 15 A13VE i5 13è Gén 8Go RTX4050,,TND,,0.0,MSI,[BU-9S7-15K111-1494-W11P],https://www.mytek.tn/pc-portable-gamer-msi-cyborg-15-a13ve-i5-13e-gen-8go-rtx4050.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-gamer-msi-cyborg-15-a13ve-i5-13e-gen-8go-rtx4050-1a.jpg,"Écran 15.6"" Full HD IPS, 144 Hz - Processeur: Intel Core i5-13420H (Up to 4.60 GHz Turbo max, 12 Mo de mémoire cache, Octa-Core) - Système d'exploitation: Windows 11 Pro - Mémoire RAM: 8 Go DDR5-5200 - Disque dur: 512Go ...",True,mytek,Tunisia,2026-01-02T16:17:31.797254,,,8.0,8Go,
67652,PC Portable Gamer HP Victus 15-fb3007nk AMD RYZEN 7 24Go RTX 3050,,TND,,0.0,HP,[C65BDEA-24G],https://www.mytek.tn/pc-portable-gamer-hp-victus-15-fb3007nk-amd-ryzen-7-24go-rtx-3050.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-gamer-hp-victus-15-fb3007nk-amd-ryzen-7-24go-rtx-3050.jpg,"PC Gaming HP Victus 15-fb3007nk - Écran 15.6'' FULL HD IPS, 144 Hz - Processeur: AMD Ryzen™ 7 7445H (Up to 4.7 GHz Turbo max, 16 Mo de mémoire cache, Hexa-Core) - Système d'exploitation: Windows 11 Famille - Mémoire RAM:...",True,mytek,Tunisia,2026-01-02T16:17:56.793040,AMD RYZEN 7 24Go,RTX 3050,24.0,24Go,
65583,PC Portable Gamer MSI Thin 15 B13UDX i7 13è Gén 32G RTX3050,,TND,,0.0,MSI,[9S7-16R831-3257-32G],https://www.mytek.tn/pc-portable-gamer-msi-thin-15-b13udx-i7-13e-gen-32g-rtx3050.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-portable-gamer-msi-thin-15-b13udx-i7-13e-gen-32g-rtx3050.jpg,"Écran 15.6"" Full HD IPS, 144 Hz - Processeur: Intel Core i7-13620H (Up to 4.90 GHz Turbo max, 24 Mo de mémoire cache, 10-Cores) - Système d'exploitation: FreeDos - Mémoire RAM: 32 Go DDR4-3200 - Disque dur: 512Go SSD - C...",True,mytek,Tunisia,2026-01-02T16:17:56.794040,,,,,
60331,Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go RTX5060 8G,,TND,,0.0,POWERED-BY-MSI-ESSENTIAL,[NITRO-7600-5060],https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-5-16go-rtx5060-8g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-amd-ryzen-5-16go-rtx5060-8g-mt.jpg,"Processeur: AMD Ryzen™ 5 7600 (3,8 GHz up to 5,1 GHz Tubro max, 32Mo Mémoire cache, Hexa-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 X 8 Go ) 4800Mhz DDR5 - Disque Dur: MSI SSD SPATIUM M371 M 2 NVME ...",True,mytek,Tunisia,2026-01-02T16:17:56.795040,AMD RYZEN 5 16Go,,16.0,16Go,
59160,Pc de Bureau Gamer MYTEK i5 12è Gén 16Go RTX 5060 Ti 16G,,TND,,0.0,POWERED-BY-MSI-ESSENTIAL,[NITRO-12400-16G5060Ti],https://www.mytek.tn/pc-de-bureau-gamer-mytek-i5-12e-gen-16go-rtx-5060-ti-16g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-i5-12e-gen-16go-rtx-5060-ti-16g-mt.jpg,"Processeur: Intel Core i5-12400F (2.50 GHz up to 4.40 GHz Turbo max, 18Mo Mémoire cache, Hexa-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 X 8 Go ) 3200Mhz DDR4 - Disque Dur: MSI SPATIUM M450 M.2 NVME...",True,mytek,Tunisia,2026-01-02T16:17:56.796041,,RTX 5060 Ti,16.0,16Go,
65691,Pc de Bureau Gamer MYTEK AMD RYZEN 5 16Go RTX5060 8Go,,TND,,0.0,POWERED-BY-MSI-ADVANCED,[SNOWOLF-7600-5060-1T],https://www.mytek.tn/pc-de-bureau-gamer-mytek-amd-ryzen-5-16go-rtx5060-8go.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/c/pc-de-bureau-gamer-mytek-amd-ryzen-5-16go-rtx5060-8go-1.jpg,"Processeur: AMD Ryzen™ 5 7600 (3,8 GHz up to 5,1 GHz Turbo max, 32Mo Mémoire cache, Hexa-Core) - Système d'exploitation: FreeDos - Mémoire RAM: 16 Go ( 2 X 8 Go ) 4800Mhz DDR5 - Disque Dur: MSI SSD SPATIUM M470 Pro M.2 N...",True,mytek,Tunisia,2026-01-02T16:17:56.797081,AMD RYZEN 5 16Go,,16.0,16Go,
