id,title,price,currency,brand,url,image,in_stock,source,country,scraped_at,processor,gpu,ram_gb,storage,screen_size
65373145,Acer NITRO V 17 AI ANV17-41-R6YK,169995.0,EUR,ACER,https://www.ldlc.com/fiche/PB00696747.html,https://media.ldlc.com/r150/ld/products/00/06/26/32/LD0006263245.jpg,True,ldlc,France,2026-01-03T11:35:45.457555,,,,,
21904061,Acer Predator Helios 18 AI PH18-73-91FQ,349995.0,EUR,ACER,https://www.ldlc.com/fiche/PB00691458.html,https://media.ldlc.com/r150/ld/products/00/06/25/72/LD0006257212.jpg,True,ldlc,France,2026-01-03T11:35:45.459691,,,,,
95321605,Acer Predator Helios 18 AI PH18-73-9498,539995.0,EUR,ACER,https://www.ldlc.com/fiche/PB00697302.html,https://media.ldlc.com/r150/ld/products/00/06/25/72/LD0006257212_0006264440.jpg,True,ldlc,France,2026-01-03T11:35:45.462579,,,,,
63320967,Acer Predator Helios 18 AI PH18-73-98VA,509995.0,EUR,ACER,https://www.ldlc.com/fiche/PB00698680.html,https://media.ldlc.com/r150/ld/products/00/06/25/72/LD0006257212_0006264440_0006268235.jpg,True,ldlc,France,2026-01-03T11:35:45.464557,,,,,
77143698,Acer Predator Helios Neo 16 PHN16-73-99SJ,249995.0,EUR,ACER,https://www.ldlc.com/fiche/PB00696748.html,https://media.ldlc.com/r150/ld/products/00/06/25/81/LD0006258131_0006263289.jpg,True,ldlc,France,2026-01-03T11:35:45.467555,,,,,
85476505,Acer Swift 14 IA SF14-51-577B Copilot+ PC,109995.0,EUR,ACER,https://www.ldlc.com/fiche/PB00660520.html,https://media.ldlc.com/r150/ld/products/00/06/20/45/LD0006204584.jpg,True,ldlc,France,2026-01-03T11:35:45.469557,,,,,
82241133,Acer TravelMate P2 14 TMP214-56-TCO-53YS,87995.0,EUR,ACER,https://www.ldlc.com/fiche/PB00696909.html,https://media.ldlc.com/r150/ld/products/00/06/26/42/LD0006264221.jpg,True,ldlc,France,2026-01-03T11:35:45.471555,,,,,
58629848,Acer Predator Helios Neo 18 AI PHN18-72-977B,229995.0,EUR,ACER,https://www.ldlc.com/fiche/PB00696750.html,https://media.ldlc.com/r150/ld/products/00/06/26/33/LD0006263313.jpg,False,ldlc,France,2026-01-03T11:35:45.473556,,,,,
48350079,Acer Predator Helios Neo 18 AI PHN18-72-980V,269995.0,EUR,ACER,https://www.ldlc.com/fiche/PB00701863.html,https://media.ldlc.com/r150/ld/products/00/06/26/33/LD0006263313_0006272787.jpg,False,ldlc,France,2026-01-03T11:35:45.476556,,,,,
89540981,ASUS ExpertBook B1 B1403CVA-S61634X,75995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00675832.html,https://media.ldlc.com/r150/ld/products/00/06/28/76/LD0006287628.jpg,True,ldlc,France,2026-01-03T11:35:45.479576,,,,,
35466134,ASUS ExpertBook B1 B1403CVA-S61809X,119995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00714114.html,https://media.ldlc.com/r150/ld/products/00/06/20/07/LD0006200735_0006200757.jpg,True,ldlc,France,2026-01-03T11:35:45.481627,,,,,
64445832,ASUS ExpertBook B1 B1403CVA-S61810X,138121.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00718775.html,https://media.ldlc.com/r150/ld/products/00/06/20/07/LD0006200735_0006200757_0006200784.jpg,True,ldlc,France,2026-01-03T11:35:45.483988,,,,,
63387227,ASUS ExpertBook B1 B1403CVA-S65011X,99995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00701689.html,https://media.ldlc.com/r150/ld/products/00/06/25/20/LD0006252014_0006272061.jpg,True,ldlc,France,2026-01-03T11:35:45.485555,,,,,
79276130,ASUS ExpertBook B1 B1502CVA-BQ0188X,59995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00581496.html,https://media.ldlc.com/r150/ld/products/00/06/08/32/LD0006083258.jpg,True,ldlc,France,2026-01-03T11:35:45.487556,,,,,
75658265,ASUS ExpertBook B1 B1503CVA-S71360X,119995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00714115.html,https://media.ldlc.com/r150/ld/products/00/06/20/08/LD0006200814_0006200841.jpg,True,ldlc,France,2026-01-03T11:35:45.490556,,,,,
81805944,ASUS ExpertBook B1 B1503CVA-S71361X,124995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00716064.html,https://media.ldlc.com/r150/ld/products/00/06/20/08/LD0006200814_0006200841_0006200867.jpg,True,ldlc,France,2026-01-03T11:35:45.492555,,,,,
36186448,ASUS ExpertBook B1 B1503CVA-S74764X,99995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00698742.html,https://media.ldlc.com/r150/ld/products/00/06/22/58/LD0006225802_0006225941_0006268682.jpg,True,ldlc,France,2026-01-03T11:35:45.494559,,,,,
19116733,ASUS ExpertBook B3 B3405CVA-LY0299X,112995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00717913.html,https://media.ldlc.com/r150/ld/products/00/06/30/58/LD0006305894.jpg,True,ldlc,France,2026-01-03T11:35:45.498549,,,,,
38251412,ASUS ExpertBook B3 B3605CVA-MB0196X,104995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00717684.html,https://media.ldlc.com/r150/ld/products/00/06/30/55/LD0006305569_0006305711.jpg,True,ldlc,France,2026-01-03T11:35:45.501603,,,,,
12135208,ASUS ExpertBook B3 B3605CVA-MB0197X,114995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00717624.html,https://media.ldlc.com/r150/ld/products/00/06/30/55/LD0006305569.jpg,True,ldlc,France,2026-01-03T11:35:45.503603,,,,,
10920256,ASUS ExpertBook B3 B5605CCA-PL0017X,134995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00717627.html,https://media.ldlc.com/r150/ld/products/00/06/30/55/LD0006305569_0006305601.jpg,True,ldlc,France,2026-01-03T11:35:45.505610,,,,,
11396879,ASUS ExpertBook B3 Flip B3402FVA-EC0164X,119995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00690414.html,https://media.ldlc.com/r150/ld/products/00/06/25/36/LD0006253602.jpg,True,ldlc,France,2026-01-03T11:35:45.507605,,,,,
24909054,ASUS ExpertBook B5 B5404CMA-Q70062X,149995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00613628.html,https://media.ldlc.com/r150/ld/products/00/06/13/48/LD0006134844_0006134941.jpg,True,ldlc,France,2026-01-03T11:35:45.509554,,,,,
30539346,ASUS ExpertBook B5 B5405CCA-NZ0030X,139995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00715121.html,https://media.ldlc.com/r150/ld/products/00/06/29/87/LD0006298713.jpg,True,ldlc,France,2026-01-03T11:35:45.512611,,,,,
72040260,ASUS ExpertBook BM1 BM1503CDA-S70021X,96995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00706603.html,https://media.ldlc.com/r150/ld/products/00/06/28/17/LD0006281794_0006281879.jpg,True,ldlc,France,2026-01-03T11:35:45.515616,,,,,
98355457,ASUS ExpertBook BM1 BM1503CDA-S70310X,104995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00706221.html,https://media.ldlc.com/r150/ld/products/00/06/28/17/LD0006281794.jpg,True,ldlc,France,2026-01-03T11:36:03.827332,,,,,
42749908,ASUS ExpertBook P1 P1403CVA-S60636X,89995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00683694.html,https://media.ldlc.com/r150/ld/products/00/06/23/54/LD0006235484_0006242383_0006242394.jpg,True,ldlc,France,2026-01-03T11:36:03.829378,,,,,
30585178,ASUS ExpertBook P1 P1403CVA-S60637X,104995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00683693.html,https://media.ldlc.com/r150/ld/products/00/06/23/54/LD0006235484_0006242383.jpg,True,ldlc,France,2026-01-03T11:36:03.831605,,,,,
45106436,ASUS ExpertBook P1 P1503CVA-S70687X,99995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00661896.html,https://media.ldlc.com/r150/ld/products/00/06/20/36/LD0006203695.jpg,True,ldlc,France,2026-01-03T11:36:03.833334,,,,,
29882120,ASUS ExpertBook P1 P1503CVA-S70688X,109995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00666450.html,https://media.ldlc.com/r150/ld/products/00/06/20/36/LD0006203695_0006211389.jpg,True,ldlc,France,2026-01-03T11:36:03.835329,,,,,
60927445,ASUS ExpertBook P1 P1503CVA-S70854X,69995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00662411.html,https://media.ldlc.com/r150/ld/products/00/06/20/36/LD0006203695_0006204885.jpg,True,ldlc,France,2026-01-03T11:36:03.837371,,,,,
36392636,ASUS ExpertBook P1 PM1503CDA-S70011X,89995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00715587.html,https://media.ldlc.com/r150/ld/products/00/06/30/02/LD0006300222.jpg,True,ldlc,France,2026-01-03T11:36:03.838569,,,,,
60914761,ASUS ExpertBook P3 P3405CVA-LY0040X,97995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00683705.html,https://media.ldlc.com/r150/ld/products/00/06/24/26/LD0006242617.jpg,True,ldlc,France,2026-01-03T11:36:03.840374,,,,,
35080227,ASUS ExpertBook P3 P3405CVA-LY0041X,124995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00683707.html,https://media.ldlc.com/r150/ld/products/00/06/24/26/LD0006242617_0006242687.jpg,True,ldlc,France,2026-01-03T11:36:03.843377,,,,,
94075615,ASUS ExpertBook P3 P3405CVA-LY0258X,106995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00691201.html,https://media.ldlc.com/r150/ld/products/00/06/24/26/LD0006242617_0006242687_0006255686.jpg,True,ldlc,France,2026-01-03T11:36:03.844377,,,,,
76195712,ASUS ExpertBook P3 P3605CVA-MB0017X,99995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00683708.html,https://media.ldlc.com/r150/ld/products/00/06/24/26/LD0006242697.jpg,True,ldlc,France,2026-01-03T11:36:03.846535,,,,,
25285140,ASUS ExpertBook P3 P3605CVA-MB0018X,124995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00683709.html,https://media.ldlc.com/r150/ld/products/00/06/24/26/LD0006242697_0006242702.jpg,True,ldlc,France,2026-01-03T11:36:03.849081,,,,,
70828516,ASUS ExpertBook P3 P3605CVA-MB0168X,109995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00702103.html,https://media.ldlc.com/r150/ld/products/00/06/24/26/LD0006242697_0006242702_0006273456.jpg,True,ldlc,France,2026-01-03T11:36:03.850337,,,,,
00808141,ASUS ExpertBook P3 PM3406CKA-LY0066X Copilot+ PC,129995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00710545.html,https://media.ldlc.com/r150/ld/products/00/06/28/87/LD0006288748.jpg,True,ldlc,France,2026-01-03T11:36:03.853331,,,,,
86431148,ASUS ExpertBook P3 PM3406CKA-LY0067X Copilot+ PC,139995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00710727.html,https://media.ldlc.com/r150/ld/products/00/06/28/87/LD0006288748_0006288868.jpg,True,ldlc,France,2026-01-03T11:36:03.855330,,,,,
70457207,ASUS ExpertBook P3 PM3406CKA-LY0207X Copilot+ PC,109995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00715386.html,https://media.ldlc.com/r150/ld/products/00/06/30/30/LD0006303066.jpg,True,ldlc,France,2026-01-03T11:36:03.857329,,,,,
92277316,ASUS ExpertBook P3 PM3406CKA-LY0439X Copilot+ PC,174995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00717032.html,https://media.ldlc.com/r150/ld/products/00/06/30/30/LD0006303077.jpg,True,ldlc,France,2026-01-03T11:36:03.859330,,,,,
48333766,ASUS ExpertBook P3 PM3606CKA-MB0034X Copilot+ PC,129995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00711284.html,https://media.ldlc.com/r150/ld/products/00/06/29/13/LD0006291303.jpg,True,ldlc,France,2026-01-03T11:36:03.861329,,,,,
36726587,ASUS ExpertBook P3 PM3606CKA-MB0035X Copilot+ PC,144995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00711288.html,https://media.ldlc.com/r150/ld/products/00/06/29/13/LD0006291303_0006291307.jpg,True,ldlc,France,2026-01-03T11:36:03.863330,,,,,
73285604,ASUS ExpertBook P3 PM3606CKA-MB0133X Copilot+ PC,109995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00715387.html,https://media.ldlc.com/r150/ld/products/00/06/29/96/LD0006299673.jpg,True,ldlc,France,2026-01-03T11:36:03.865728,,,,,
46402180,ASUS ExpertBook P3 PM3606CKA-MB0306X Copilot+ PC,176995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00717034.html,https://media.ldlc.com/r150/ld/products/00/06/29/13/LD0006291303_0006291307_0006303090.jpg,True,ldlc,France,2026-01-03T11:36:03.868332,,,,,
53832029,ASUS ExpertBook P5 Copilot+ PC P5405CSA-NZ0038X,159995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00644143.html,https://media.ldlc.com/r150/ld/products/00/06/17/17/LD0006171796.jpg,True,ldlc,France,2026-01-03T11:36:03.870336,,,,,
22379486,ASUS M1807HA-S8028X,109995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00698777.html,https://media.ldlc.com/r150/ld/products/00/06/22/92/LD0006229235_0006268856.jpg,True,ldlc,France,2026-01-03T11:36:03.873390,,,,,
09910904,ASUS M1807HA-S8076X,139995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00673961.html,https://media.ldlc.com/r150/ld/products/00/06/22/92/LD0006229235.jpg,True,ldlc,France,2026-01-03T11:36:03.875568,,,,,
06255338,ASUS M5406WA-PP068X OLED,149995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00686910.html,https://media.ldlc.com/r150/ld/products/00/06/25/00/LD0006250091.jpg,True,ldlc,France,2026-01-03T11:36:03.877388,,,,,
30209530,ASUS P1504FA-BQ2443X,74995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00702100.html,https://media.ldlc.com/r150/ld/products/00/06/07/11/LD0006071179_0006076683_0006197084_0006197179_0006273430.jpg,True,ldlc,France,2026-01-03T11:36:03.880387,,,,,
66246549,ASUS P1704VA-AU766X,64995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00689151.html,https://media.ldlc.com/r150/ld/products/00/06/14/34/LD0006143450_0006150632_0006250524.jpg,True,ldlc,France,2026-01-03T11:36:03.882523,,,,,
11469176,ASUS P1704VA-AU816X,79995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00686938.html,https://media.ldlc.com/r150/ld/products/00/06/14/34/LD0006143450_0006250162.jpg,True,ldlc,France,2026-01-03T11:36:03.885333,,,,,
81847047,ASUS P1704VA-AU908X,84995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00707809.html,https://media.ldlc.com/r150/ld/products/00/06/28/44/LD0006284491.jpg,True,ldlc,France,2026-01-03T11:36:03.888348,,,,,
72459890,ASUS P1704VA-AU909X,99995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00711563.html,https://media.ldlc.com/r150/ld/products/00/06/28/44/LD0006284491_0006291364.jpg,True,ldlc,France,2026-01-03T11:36:03.890340,,,,,
31199661,ASUS ProArt P16 OLED H7606WM-SC065X,274995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00695990.html,https://media.ldlc.com/r150/ld/products/00/06/25/54/LD0006255418_0006256647_0006260556.jpg,True,ldlc,France,2026-01-03T11:36:03.892386,,,,,
42635905,ASUS ProArt P16 OLED H7606WP-SC142W,299995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00691198.html,https://media.ldlc.com/r150/ld/products/00/06/28/78/LD0006287854.jpg,True,ldlc,France,2026-01-03T11:36:03.894384,,,,,
72750307,ASUS ROG Flow Z13 GZ302EA-RU004W,249995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00666801.html,https://media.ldlc.com/r150/ld/products/00/06/21/32/LD0006213242.jpg,True,ldlc,France,2026-01-03T11:36:03.896385,,,,,
72678879,ASUS ROG STRIX G16 G614FP-S5050W,234995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00714171.html,https://media.ldlc.com/r150/ld/products/00/06/26/60/LD0006266042_0006297054_0006297061.jpg,True,ldlc,France,2026-01-03T11:36:03.899341,,,,,
11805890,ASUS ROG STRIX G16 G614FR-S5211W,254995.0,EUR,ASUS,https://www.ldlc.com/fiche/PB00714170.html,https://media.ldlc.com/r150/ld/products/00/06/26/60/LD0006266042_0006297054.jpg,True,ldlc,France,2026-01-03T11:36:03.901333,,,,,
