id,title,price,currency,brand,url,image,rating,in_stock,source,country,scraped_at,processor,gpu,ram_gb,storage,screen_size
f467f09d,Acer NITRO V 16 AI ANV16-42-R7B0,,EUR,ACER,https://www.ldlc.com/fiche/PB00716776.html,https://media.ldlc.com/r150/ld/products/00/06/30/27/LD0006302710.jpg,,True,ldlc,France,2025-12-29T00:47:40.320140,,,,,
00c00186,Acer NITRO V 17 AI ANV17-41-R6YK,,EUR,ACER,https://www.ldlc.com/fiche/PB00696747.html,https://media.ldlc.com/r150/ld/products/00/06/26/32/LD0006263245.jpg,,True,ldlc,France,2025-12-29T00:47:40.322139,,,,,
1de2f724,Acer Predator Helios 18 AI PH18-73-91FQ,,EUR,ACER,https://www.ldlc.com/fiche/PB00691458.html,https://media.ldlc.com/r150/ld/products/00/06/25/72/LD0006257212.jpg,,True,ldlc,France,2025-12-29T00:47:40.323127,,,,,
feabc132,Acer Predator Helios 18 AI PH18-73-9498,,EUR,ACER,https://www.ldlc.com/fiche/PB00697302.html,https://media.ldlc.com/r150/ld/products/00/06/25/72/LD0006257212_0006264440.jpg,,True,ldlc,France,2025-12-29T00:47:40.324141,,,,,
9ab869da,Acer Predator Helios 18 AI PH18-73-98VA,,EUR,ACER,https://www.ldlc.com/fiche/PB00698680.html,https://media.ldlc.com/r150/ld/products/00/06/25/72/LD0006257212_0006264440_0006268235.jpg,,True,ldlc,France,2025-12-29T00:47:40.325141,,,,,
31c8b7ae,Acer Predator Helios Neo 16 PHN16-73-99SJ,,EUR,ACER,https://www.ldlc.com/fiche/PB00696748.html,https://media.ldlc.com/r150/ld/products/00/06/25/81/LD0006258131_0006263289.jpg,,True,ldlc,France,2025-12-29T00:47:40.327142,,,,,
058587c2,Acer Swift 14 IA SF14-51-577B Copilot+ PC,,EUR,ACER,https://www.ldlc.com/fiche/PB00660520.html,https://media.ldlc.com/r150/ld/products/00/06/20/45/LD0006204584.jpg,,True,ldlc,France,2025-12-29T00:47:40.328143,,,,,
29f416df,Acer TravelMate P2 14 TMP214-56-TCO-53YS,,EUR,ACER,https://www.ldlc.com/fiche/PB00696909.html,https://media.ldlc.com/r150/ld/products/00/06/26/42/LD0006264221.jpg,,True,ldlc,France,2025-12-29T00:47:40.329141,,,,,
fe295854,Acer Predator Helios Neo 18 AI PHN18-72-977B,,EUR,ACER,https://www.ldlc.com/fiche/PB00696750.html,https://media.ldlc.com/r150/ld/products/00/06/26/33/LD0006263313.jpg,,True,ldlc,France,2025-12-29T00:47:40.331115,,,,,
d624ad89,Acer Predator Helios Neo 18 AI PHN18-72-980V,,EUR,ACER,https://www.ldlc.com/fiche/PB00701863.html,https://media.ldlc.com/r150/ld/products/00/06/26/33/LD0006263313_0006272787.jpg,,True,ldlc,France,2025-12-29T00:47:40.333125,,,,,
