product_id,product_name,price_value,currency,regular_price,discount_percent,brand,sku,product_url,image_url,description,in_stock,source,country,scraped_at,processor,gpu,ram_gb,storage,screen_size,product_name_normalized,model,category,specifications,product_signature
prod_00788,Processeur Intel Core Ultra 5 Processor 225,799.0,TND,,0.0,INTEL,[BX80768225],https://www.mytek.tn/processeur-intel-core-ultra-5-processor-225.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/r/processeur-intel-core-ultra-5-processor-225-f.jpg,"Processeur Intel Core Ultra 5 225 - Fréquence de Processeur: 4,9 GHz - Nombre de Coeurs: 10-Cores - Mémoire Cache: 20 Mo - Nombre de Threads: 10 - Taille de mémoire maximale de prise en charge: 256 Go - Fréquence(s) Mémo...",True,mytek,Tunisia,2026-01-02T16:22:34.376660,,,,,,processeur intel core ultra 5 processor 225,PROCESSEUR,Processor,"{""processor"": ""intel core ultra 5""}",intel_processeur
prod_00789,Processeur AMD Ryzen 5 8600G,799.0,TND,,0.0,AMD,[100-100001237BOX],https://www.mytek.tn/processeur-amd-ryzen-5-8600g.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/r/processeur-amd-ryzen-5-8600g-1_1.jpg,Processeur AMD Ryzen 5 8600G - Nombre de cœurs du CPU: 6 - Nombre de threads: 12 - Fréquence de Processeur: 4.3 GHz up to 5.0 GHz Turbo max - Mémoire Cache: 16 Mo - Socket: AM5 - Version PCI Express : PCIe® 4.0 - Tempéra...,True,mytek,Tunisia,2026-01-02T16:22:34.375649,AMD Ryzen 5 8600G,,,,,processeur amd ryzen 5 8600g,PROCESSEUR,Processor,"{""processor"": ""amd ryzen 5 8600g""}",amd_processeur_ryzen5
prod_00790,Processeur AMD Ryzen 5 7600X,779.0,TND,889.0,12.37,AMD,[100-100000593WOF],https://www.mytek.tn/processeur-amd-ryzen-5-7600x.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/r/processeur-amd-ryzen-5-7600x-a.jpg,Processeur AMD Ryzen 5 7600X - Nombre de cœurs du CPU: 6 - Nombre de threads: 12 - Fréquence de Processeur: 4.7 GHz up to 5.3 GHz Turbo max - Mémoire Cache: 32 Mo - Socket: AM5 - Version PCI Express : PCIe® 5.0 - Vitesse...,True,mytek,Tunisia,2026-01-02T16:22:34.374650,AMD Ryzen 5 7600X,,,,,processeur amd ryzen 5 7600x,PROCESSEUR,Processor,"{""processor"": ""amd ryzen 5 7600x""}",amd_processeur_ryzen5
prod_00791,Processeur INTEL Core I5-12600K LGA 1700,725.0,TND,,0.0,INTEL,[BX8071512600K],https://www.mytek.tn/processeur-intel-core-i5-12600k-3-7-ghz-4-9-ghz.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/a/1/a13-black_262.jpg,Processeur Intel Core I5-12600K - Fréquence de Processeur: 3.7 GHz Jusqu'à 4.9 GHz - Nombre de Coeurs: 10 - Mémoire Cache: 20 Mo - Taille de mémoire maximale de prise en charge: 128Go - Nombre maximal de voies PCI Expres...,True,mytek,Tunisia,2026-01-02T16:22:34.373652,INTEL Core I5-12600K,,,,,processeur intel core i5-12600k lga 1700,PROCESSEUR,Processor,"{""processor"": ""intel core i5-12600k""}",intel_processeur_i5
prod_00792,Processeur Intel Core i5-14400F BOX LGA 1700,689.0,TND,789.0,12.67,INTEL,[BX8071514400F],https://www.mytek.tn/processeur-intel-core-i5-14400f-box-lga-1700.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/r/processeur-intel-core-i5-14400f-box-lga-1700-y.jpg,"Processeur Intel Core i5-14400F BOX LGA 1700 - Fréquence de Processeur: 1,8 GHz up to 4,7 GHz Turbo max - Nombre de Coeurs: 10-Cores - Mémoire Cache: 20 Mo - Nombre de Threads: 16 - Taille de mémoire maximale de prise en...",True,mytek,Tunisia,2026-01-02T16:22:34.372650,Intel Core i5-14400F,,,,,processeur intel core i5-14400f box lga 1700,PROCESSEUR,Processor,"{""processor"": ""intel core i5-14400f""}",intel_processeur_i5
prod_00793,Processeur AMD RYZEN 5 7600,689.0,TND,869.0,20.71,AMD,[100-100001015BOX],https://www.mytek.tn/processeur-amd-ryzen-5-7600.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/r/processeur-amd-ryzen-5-7600-h.jpg,Processeur AMD RYZEN 5 7600 - Nombre de cœurs du CPU: 6 - Nombre de threads: 12 - Fréquence de Processeur: 3.8 GHz up to 5.1 GHz Turbo max - Mémoire Cache: 32 Mo - Socket: AM5 - Version PCI Express: PCIe 5.0 - Vitesse de...,False,mytek,Tunisia,2026-01-02T16:22:34.372650,AMD RYZEN 5 7600,,,,,processeur amd ryzen 5 7600,PROCESSEUR,Processor,"{""processor"": ""amd ryzen 5 7600""}",amd_processeur_ryzen5
prod_00794,Processeur AMD Ryzen 7 5800X,609.0,TND,,0.0,AMD,[100-100000063WOF],https://www.mytek.tn/processeur-amd-ryzen-7-5800x.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/r/processeur-amd-ryzen-7-5800x-tg.jpg,AMD Ryzen 7 5800X - Nombre de cœurs du CPU: 8 - Nombre de threads : 16 - Fréquence de Processeur: 3.8 GHz up to 4.7 GHz Turbo max - Mémoire Cache: 32 Mo - Socket: AM4 - Version PCI Express : PCIe 4.0 - Vitesse de mémoire...,True,mytek,Tunisia,2026-01-02T16:22:34.371651,AMD Ryzen 7 5800X,,,,,processeur amd ryzen 7 5800x,PROCESSEUR,Processor,"{""processor"": ""amd ryzen 7 5800x""}",amd_processeur_ryzen7
prod_00795,Processeur AMD Ryzen 5 5600GT,449.0,TND,499.0,10.02,AMD,[100-100001488BOX],https://www.mytek.tn/processeur-amd-ryzen-5-5600gt.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/r/processeur-amd-ryzen-5-5600gt-f.jpg,Processeur AMD Ryzen 5 5600GT - Nombre de cœurs du CPU: 6 - Nombre de threads: 12 - Fréquence de Processeur: 3.6 GHz up to 4.6 GHz Turbo max - Mémoire Cache: 16 Mo - Socket: AM4 - Vitesse de mémoire maximale: 3200 MHz - ...,True,mytek,Tunisia,2026-01-02T16:22:34.370650,AMD Ryzen 5 5600GT,,,,,processeur amd ryzen 5 5600gt,PROCESSEUR,Processor,"{""processor"": ""amd ryzen 5 5600gt""}",amd_processeur_ryzen5
prod_00796,Processeur AMD Ryzen 5 5500GT,419.0,TND,,0.0,AMD,[100-100001489BOX],https://www.mytek.tn/processeur-amd-ryzen-5-5500gt.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/r/processeur-amd-ryzen-5-5500gt.jpg,Processeur AMD Ryzen 5 5500GT - Nombre de cœurs du CPU: 6 - Nombre de threads: 12 - Fréquence de Processeur: 3.6 GHz up to 4.4 GHz Turbo max - Mémoire Cache: 16 Mo - Socket: AM4 - Vitesse de mémoire maximale: Up to 3200 ...,True,mytek,Tunisia,2026-01-02T16:22:34.369650,AMD Ryzen 5 5500GT,,,,,processeur amd ryzen 5 5500gt,PROCESSEUR,Processor,"{""processor"": ""amd ryzen 5 5500gt""}",amd_processeur_ryzen5
prod_00797,Processeur Intel Core i3-10100 Socket FCLGA1200 (BX8070110100SRH3N),365.0,TND,,0.0,INTEL,[BX8070110100SRH3N],https://www.mytek.tn/processeur-intel-core-i3-10100-socket-fclga-1200-bx8070110100srh3n.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/r/processeur-intel-core-i3-10100-socket-lga-1200-bx8070110100srh3n.jpg,Processeur Intel Core i3-10100 - Fréquence de Processeur: 3.6 GHz Jusqu'à 4.3 GHz - Nombre de Coeurs: 4 - Mémoire Cache: 6 Mo - Nombre de Threads: 8 - Taille de mémoire maximale de prise en charge: 128 Go - Fréquence(s) ...,True,mytek,Tunisia,2026-01-02T16:22:34.368650,Intel Core i3-10100,,,,,processeur intel core i3-10100 socket fclga1200 bx8070110100srh3n,PROCESSEUR,Processor,"{""processor"": ""intel core i3-10100""}",intel_processeur_i3
prod_00798,Processeur Intel Core i5-11400F BOX LGA 1200,359.0,TND,469.0,23.45,INTEL,[CPU-I5-11400F],https://www.mytek.tn/processeur-intel-core-i5-11400f-box-lga-1200.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/r/processeur-intel-core-i5-11400f-box-lga-1200-h.jpg,"Processeur Intel Core i5-11400F BOX - Fréquence de Processeur: 2,60 GHz up to 4,40 GHz Turbo max - Nombre de Coeurs: Hexa-Core - Mémoire Cache: 12 Mo - Nombre de Threads: 12 - Taille de mémoire maximale de prise en charg...",True,mytek,Tunisia,2026-01-02T16:22:34.368650,Intel Core i5-11400F,,,,,processeur intel core i5-11400f box lga 1200,PROCESSEUR,Processor,"{""processor"": ""intel core i5-11400f""}",intel_processeur_i5
prod_00799,Processeur AMD RYZEN 5 5500,319.0,TND,399.0,20.05,AMD,[100-100000457BOX],https://www.mytek.tn/processeur-amd-ryzen-5-5500.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/r/processeur-amd-ryzen-5-5500.jpg,Processeur AMD RYZEN 5 5500 - Nombre de cœurs du CPU: 6 - Nombre de threads: 12 - Fréquence de Processeur: 3.6 GHz up to 4.2 GHz Turbo max - Mémoire Cache: 16 Mo - Socket: AM4 - Version PCI Express: PCIe 3.0 - Températur...,True,mytek,Tunisia,2026-01-02T16:22:34.367650,AMD RYZEN 5 5500,,,,,processeur amd ryzen 5 5500,PROCESSEUR,Processor,"{""processor"": ""amd ryzen 5 5500""}",amd_processeur_ryzen5
prod_00800,Processeur Intel Core i3-12100F LGA 1700,299.0,TND,339.0,11.8,INTEL,[BX8071512100FSRL63],https://www.mytek.tn/processeur-intel-core-i3-12100f-3-3-ghz-4-3-ghz-lga-1700.html,https://mk-media.mytek.tn/media/catalog/product/cache/4635b69058c0dccf0c8109f6ac6742cc/p/r/processeur_intel_core_i3-12100f_3.3_ghz___4.3_ghz_-_lga_1700.jpg,"Processeur Intel Core i3-12100F - Fréquence de Processeur: 3.30 GHz Up to 4.30 GHz Turbo max - Nombre de Coeurs: 4 - Mémoire Cache: 12 Mo - Nombre de Threads: 8 - Fréquence(s) Mémoire: DDR4 3200 MHz, DDR5 4800 MHz - Nomb...",True,mytek,Tunisia,2026-01-02T16:22:34.366652,Intel Core i3-12100F,,,,,processeur intel core i3-12100f lga 1700,PROCESSEUR,Processor,"{""processor"": ""intel core i3-12100f""}",intel_processeur_i3
